Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.1990898,37.73183076,11.49019616,17.85026408,0.7970907121,25.53312915,18.21603314,0.742558832,17.49625397,14,27,1.142857143,0.9978165939,0.9473684211,1,0,3,3.843770265,3.537774134,0.1940254296
-122.199086,37.72598763,13.71428583,7.736999989,0.591361417,25.68402011,10.87164345,0.7789186048,10.65157127,13,40,1.148351648,1.014285714,1.045454545,2,0,3,2.268083372,0.7998602287,0.1812946428
-122.1989967,37.73162841,13.23529355,12.0884728,0.3678390156,23.71661187,14.51688866,1.126991585,13.76653242,19,57,1,0.9638554217,1,1,0,3,5.436504485,1.57056326,0.1561999463
-122.1989739,37.73146385,17.72727233,13.56559499,0.5045460831,26.69443147,14.46945365,0.3266012837,2.510488749,18,164,0.8620689655,0.8682926829,0.8676470588,3,0,3,2.279689107,1.812550111,0.0508028757
-122.1989695,37.72810027,4.310344731,15.28799957,0.3027875733,4.893018662,18.13994679,0.2256988089,0,13,282,0.8620689655,1.12,1,2,0,3,0.5201675511,0.3342583555,0.0905271505
-122.1989655,37.72635872,6.562500203,8.027622388,0.3500231018,22.11533167,11.20682015,0.3800209243,11.96597672,13,44,0.9069767442,1.025217391,0.9743589744,2,0,3,1.999257177,1.634152887,0.1820264526
-122.1989646,37.73208221,11.33333312,8.198553798,0.5764314699,18.24345063,14.36431003,0.6966333891,17.66344929,13,16,1.166666667,0.9956331878,1,1,0,3,3.083488362,4.52471044,0.245022348
-122.1989548,37.7322458,9.999999776,17.73359645,0.3197090193,11.61151817,18.38025528,0.4484621204,16.34132576,10,12,1,0.9956331878,0.8993009868,1,0,3,4.233338668,4.391278289,0.2119766752
-122.1989306,37.72542266,10.49059543,7.870375178,0.1679381035,18.76019514,9.770488021,0.1665724128,5.628021717,15,94,0.8387096774,0.8977272727,0.9743589744,2,0,3,2.025808851,0.7436421502,0.1122334225
-122.1988991,37.7262136,10.28571384,7.645500183,0.6785033385,22.95294833,10.79127221,0.4268846341,12.16661024,13,33,1.148351648,1.014285714,1.045454545,2,0,3,2.055893558,1.05529825,0.1340313582
-122.1988863,37.7252296,7.894736666,10.01500034,0.7914878039,21.48342825,12.25001109,1.123725979,14.10606575,11,25,1.071428571,0.9956331878,1,2,0,3,5.675514399,2.805726583,0.3058648599
-122.1988695,37.73187919,14.08333362,11.19002244,0.6261275273,23.38311424,12.31568472,0.6624340246,12.96914291,18,60,1.083333333,0.9560656419,0.9871794872,1,0,3,3.457404387,1.31607903,0.1371589129
-122.1988615,37.72819889,4.53488362,8.785721976,0.3467494202,8.063833655,9.408658385,0.2887221101,11.67788792,16,50,0.9534883721,0.9389312977,0.8936170213,2,0,3,1.114286112,1.010599198,0.08004609129
-122.1988477,37.73233613,11.55172389,12.88303027,0.8118155021,14.02771328,15.84013644,0.9984659979,17.58628178,12,13,1.166666667,0.9978165939,0.9736842105,1,0,3,3.696659189,5.675158322,0.4486177289
