,Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE,h3id_7,h3id_8,h3id_9,h3id_10,h3id_11
7607,-122.26691729999999,37.820052600000004,9.545454332,17.13811658,0.4030803187,34.95018603,20.45708002,0.7355361147,9.928769112000001,27,137,1.0,1.037037037,1.0,2,0,2,1.254074953,0.9208000919,0.07573608061,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813d07fff,8b2830813d05fff
7608,-122.266916,37.81939864,8.597015334,16.43701447,0.2662571204,11.00123257,16.57087566,0.5661374336,1.095766544,17,254,1.0,1.0165289259999999,0.8795180723,2,0,2,0.9778681897,1.107484483,0.05125912421,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813d27fff,8b2830813d23fff
7609,-122.26691129999999,37.81116454,15.93103462,18.50764426,0.7078705654,56.84289304,22.83487838,1.1189503440000002,0.3806888461,44,1488,1.074074074,1.046153846,1.0,2,0,2,0.8609383009999999,0.47065438670000004,0.037543890350000005,872830810ffffff,8828308105fffff,89283081047ffff,8a283081044ffff,8b283081044cfff
7610,-122.26690890000002,37.81609319,7.337609087000001,17.22970745,0.3830822054,14.67016981,17.83413725,0.45064202649999996,10.22715473,17,78,1.1,1.284552846,0.9122807018000001,2,0,2,1.874828515,0.29611806539999996,0.0749554227,872830810ffffff,8828308107fffff,8928308106bffff,8a28308106a7fff,8b28308106a1fff
7611,-122.26690390000002,37.80990683,10.84507018,16.04899979,0.5637725765,16.11095035,17.64986794,0.5304522863000001,0.17491109670000002,16,260,0.92,1.0,0.8461538462,2,0,2,0.6946137608,0.2155600912,0.042478234239999996,872830810ffffff,8828308105fffff,89283081047ffff,8a283081046ffff,8b2830810461fff
7612,-122.2668969,37.79228975,12.29166716,12.08520575,-0.09406579234,21.05125652,13.51387388,-0.0214400406,9.32687664,10,40,0.8780487805,0.9587628866,0.7857142856999999,3,0,0,2.003954281,1.603385841,0.08633940767,872830814ffffff,8828308147fffff,89283081463ffff,8a2830814637fff,8b2830814632fff
7613,-122.2668922,37.8159668,7.678571257000001,17.13690052,0.57268116,14.56437681,16.45516991,0.5778582251,13.0591712,23,60,1.008064516,1.078947368,0.9752475248,2,0,2,1.2498239009999998,2.204821861,0.1420929749,872830810ffffff,8828308107fffff,8928308106bffff,8a28308106a7fff,8b28308106a1fff
7614,-122.26688940000001,37.79834176,4.730496463,23.67025013,0.5192852967,10.24169232,21.22487962,0.5782047887,8.161660194,27,140,0.8119658120000001,0.8922155689,0.95,2,0,2,0.3536995499,2.003585151,0.09459203706000001,872830810ffffff,882830810dfffff,892830810d3ffff,8a2830810d77fff,8b2830810d76fff
7615,-122.26687859999998,37.82346298,11.90000027,18.68490038,0.7104219558,21.0289358,21.30471792,1.239601465,22.26000977,33,51,1.0,1.140873016,1.067484663,1,0,2,3.671328773,1.7235054269999999,0.3298844101,872830813ffffff,882830813dfffff,892830813c3ffff,8a2830813c07fff,8b2830813c01fff
7616,-122.2668756,37.79703886,16.52542398,17.50422716,0.4925737692,34.59544659,20.84661697,0.8199812947,0.4372777343,28,507,0.94,1.2,1.025641026,2,0,2,1.28192769,0.1690989549,0.04471088113,872830810ffffff,882830810dfffff,8928308146fffff,8a2830810d2ffff,8b28308146d3fff
7617,-122.26687369999999,37.80923313,5.6960786070000005,14.89371073,0.4568767589,6.974377883,14.35789133,0.515762257,8.498621941,16,38,0.8636363636,0.8797113864,1.0,2,0,2,1.3408948440000001,1.5252391019999998,0.1443237912,872830810ffffff,8828308105fffff,89283081047ffff,8a2830810467fff,8b2830810465fff
7618,-122.26686869999999,37.80648101,8.753053259,15.59810572,0.4442890185,15.19588292,17.137375,0.41325989469999996,9.270288467,26,96,1.071428571,1.049325748,1.0,2,0,2,1.3333280790000002,0.8264849942,0.07778504991,872830810ffffff,8828308105fffff,89283081057ffff,8a2830810567fff,8b2830810561fff
7619,-122.2668668,37.80926783,4.883720973,13.81832012,0.8279870678,5.1052029039999995,14.00624949,0.7677242470000001,0.138899982,16,147,1.6279069769999999,1.282442748,1.7,2,0,2,0.5351252943,0.1039566116,0.03304873508,872830810ffffff,8828308105fffff,89283081047ffff,8a2830810467fff,8b2830810465fff
7620,-122.2668456,37.82031692,12.0000001,17.00739215,0.5137462753,31.21701047,20.14672623,0.6889938722,10.81876564,27,184,1.0,1.033011272,0.9436619718000001,2,0,2,1.3867621469999998,0.7109827441,0.10603394199999999,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813d07fff,8b2830813d01fff
7621,-122.2668428,37.794733799999996,19.74561224,22.49694143,0.7220386284,26.83315333,24.82927489,0.7302394514,1.203799903,28,374,0.9545454545000001,0.9568965517,0.9117647059,2,0,2,1.235220455,2.218775035,0.04667794835,872830814ffffff,8828308147fffff,8928308146bffff,8a28308146affff,8b28308146a9fff
7622,-122.2668415,37.8240299,27.000000699999998,28.84019328,1.678825995,43.78853626,27.26896511,1.827147303,32.64149857,33,51,1.0,1.131672598,1.055316092,1,3,0,6.508701051,2.193405212,0.2141863314,872830813ffffff,882830813dfffff,892830813c3ffff,8a2830813c07fff,8b2830813c0efff
7623,-122.2668404,37.7994447,10.54794497,13.72211399,0.40588121409999994,19.89180609,18.003335600000003,0.6366526532,1.949744225,27,426,1.0,1.0,0.9752475248,2,0,2,0.8431231179,0.3343582909,0.052426008739999995,872830810ffffff,882830810dfffff,892830810d7ffff,8a2830810d57fff,8b2830810d56fff
7624,-122.2668382,37.81522925,5.373134208,11.55200018,0.2321939468,5.993613068999999,12.43854572,0.3539725046,6.587460517999999,19,98,1.0,1.056818182,1.0,3,0,2,0.9770573596,1.140926657,0.1120148218,872830810ffffff,8828308107fffff,8928308107bffff,8a283081078ffff,8b283081078bfff
7625,-122.26683770000001,37.81361091,15.50769304,19.08482919,0.26665288730000003,25.89059341,19.02866698,0.3894874746,6.505149603,15,111,1.125,1.228070175,1.0,3,0,2,3.849133965,1.594259275,0.09927837376,872830810ffffff,8828308107fffff,8928308107bffff,8a28308107affff,8b28308107aafff
7626,-122.2668217,37.80184427,4.285714489,10.17983036,0.34574614530000003,11.62039869,12.71150851,0.45064276840000006,6.430554867000001,28,137,0.8481012658,1.046511628,0.9473684211,3,0,2,0.9044065211,1.210135121,0.10213382439999999,872830810ffffff,882830810dfffff,892830810c3ffff,8a2830810c0ffff,8b2830810c0dfff
7627,-122.26682029999999,37.80950017,4.607142897,12.73273244,0.3891142333,6.837207197000001,14.05315041,0.47301057009999997,7.961026907000001,17,83,0.8636363636,1.0,1.0,2,0,2,1.25722618,0.9198360879999999,0.06225714416,872830810ffffff,8828308105fffff,89283081047ffff,8a2830810467fff,8b2830810461fff
7628,-122.2668098,37.82174198,6.681091735,16.50749941,0.405762577,14.72488123,16.39668775,0.433779842,4.2441661360000005,17,127,0.972972973,1.0,0.8387096773999999,3,0,2,0.9069175698999999,1.6695490430000002,0.1285613686,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813c27fff,8b2830813c24fff
7629,-122.2668085,37.80088678,7.325476281,14.73918331,0.33687523420000004,18.78752546,18.26786749,0.6392095547,9.923632622000001,31,161,0.9444444444,1.0909090909999999,0.9444444444,2,0,2,0.9424335194,0.7252320185,0.11141307939999999,872830810ffffff,882830810dfffff,892830810c3ffff,8a2830810c2ffff,8b2830810c28fff
7630,-122.26680220000001,37.81672255,4.400000038,13.87255739,0.4243926844,6.154439823,14.20629233,0.5277244261,6.340527296,21,112,0.9545454545000001,1.008264463,0.8795180723,3,0,2,0.5422798874,0.8146773702,0.05494009859,872830810ffffff,8828308107fffff,8928308106bffff,8a2830810687fff,8b2830810685fff
7631,-122.26679890000001,37.81441319,5.962963147000001,14.91600037,0.2413119078,6.471195021000001,15.09994296,0.41689087399999997,6.20934391,20,93,1.0,1.1,1.0,3,0,2,0.6667675499,1.449322491,0.1198939067,872830810ffffff,8828308107fffff,8928308107bffff,8a283081078ffff,8b283081078efff
7632,-122.26679640000002,37.7952275,53.6153861,30.15561065,1.4496840030000002,74.3087051,38.75541214,2.507482476,7.860710382000001,76,232,0.9375,1.092685686,1.033898305,1,1,2,6.245965354,2.8942301610000003,0.1068924566,872830814ffffff,8828308147fffff,8928308146bffff,8a28308146f7fff,8b28308146f6fff
7633,-122.2667961,37.82335611,5.187499884,11.04818538,0.2244961391,10.01699198,16.24023374,0.5368725654,18.60231018,11,13,0.625,0.9320987654,0.7358490566,1,0,2,4.29763772,4.171445701000001,0.5112890149,872830813ffffff,882830813dfffff,892830813c3ffff,8a2830813c07fff,8b2830813c00fff
7634,-122.26679240000001,37.79540824,81.66710528,36.00945443,2.252991121,109.2208757,40.95130201,2.98543429,23.2477417,81,148,1.1231060609999999,1.0758251559999998,1.0,1,1,2,9.545225769,1.908670249,0.1633946791,872830814ffffff,8828308147fffff,8928308146fffff,8a28308146f7fff,8b28308146f2fff
7635,-122.2667837,37.81807422,3.545454576,9.872388819,0.3509262792,23.24548584,11.65827808,0.4244449858,6.353388309,18,160,1.0,0.9253731343000001,1.0,3,0,2,0.6877866576999999,1.4681201369999999,0.06508772356,872830810ffffff,8828308107fffff,8928308106bffff,8a283081068ffff,8b283081068afff
7636,-122.26678170000001,37.82384497,21.8409089,18.82723434,1.086461306,28.32760387,21.16112246,0.9138924318000001,29.18700314,40,44,0.8625,1.0,0.9482758620999999,1,3,2,2.135278203,1.7144826519999998,0.22037853559999998,872830813ffffff,882830813dfffff,892830813c3ffff,8a2830813c07fff,8b2830813c03fff
7637,-122.2667756,37.79658975,13.05793059,18.88897915,0.49122937200000005,33.52345941,20.07170344,0.6676323194,9.90819931,29,122,0.9772727273,1.0,0.95,2,0,2,2.8528772780000002,1.141900516,0.09340939692,872830810ffffff,8828308147fffff,8928308146fffff,8a28308146d7fff,8b28308146d2fff
7638,-122.2667738,37.82058125,10.99999994,18.26814241,0.5002554203,19.93385228,20.47430442,0.5812427058,11.01168251,27,106,1.0,1.079812207,1.0,2,0,2,1.458306335,1.1831609379999999,0.1155481413,872830813ffffff,882830813dfffff,892830813d3ffff,8a2830813d07fff,8b2830813d01fff
7639,-122.26676909999999,37.80427992,7.140505698999999,16.18299961,0.3897210665,13.45777777,16.3875106,0.6007138211,9.959643841,27,149,1.0,1.063732004,1.047619048,2,0,2,0.7253162105,0.41021549490000003,0.12557794,872830810ffffff,882830810dfffff,892830810cfffff,8a2830810ceffff,8b2830810cebfff
