,h3id_9,NO_Med,NO2_Med,BC_Med,city,polygon
28,89283098187ffff,8.773923322,8.571375045,0.4602744586,2,"POLYGON((37.72591076578625 -122.20001125930963, 37.72759311167935 -122.19893539683139, 37.72910180718452 -122.20019302849168, 37.728928133447084 -122.20252652229219, 37.72724578709894 -122.20360231590712, 37.72573711494297 -122.20234468458749))"
29,8928309818bffff,11.94305321,11.69608853,0.5475919858,2,"POLYGON((37.726431456431804 -122.19301072858653, 37.72811377117712 -122.19193469960237, 37.72962256648989 -122.19319229218179, 37.729449023708604 -122.19552591342988, 37.72776670849766 -122.19660187356385, 37.72625793653333 -122.19534428130261))"
30,8928309818fffff,7.0555558325,10.401625275,0.37434878225,2,"POLYGON((37.72776670849766 -122.19660187356385, 37.729449023708604 -122.19552591342988, 37.73095774256154 -122.19678354541985, 37.7307841228555 -122.19911713721673, 37.72910180718452 -122.20019302849168, 37.72759311167935 -122.19893539683139))"
31,89283098193ffff,7.018125448999999,8.43618745,0.3896477183,2,"POLYGON((37.7213843903877 -122.19623856263308, 37.723066766032694 -122.19516266010018, 37.72457559110084 -122.19642021263526, 37.72440201717176 -122.19875366737743, 37.72271964106561 -122.19982950106044, 37.721210839349396 -122.19857194885381))"
32,89283098197ffff,4.7947455439999995,6.61664879,0.1853747332,2,"POLYGON((37.72271964106561 -122.19982950106044, 37.72440201717176 -122.19875366737743, 37.72591076578625 -122.20001125930963, 37.72573711494297 -122.20234468458749, 37.72405473838121 -122.20342044941178, 37.72254601311801 -122.20216285781959))"
33,8928309819bffff,10.20000009,12.6082499,0.4871236086,2,"POLYGON((37.72324026304682 -122.19282917591225, 37.724922608013145 -122.19175317573394, 37.726431456431804 -122.19301072858653, 37.72625793653333 -122.19534428130261, 37.72457559110084 -122.19642021263526, 37.723066766032694 -122.19516266010018))"
34,892830981bbffff,10.06451622,12.830713900000001,0.590440764,2,"POLYGON((37.72910180718452 -122.20019302849168, 37.7307841228555 -122.19911713721673, 37.7322927652438 -122.20037480860758, 37.732119068613706 -122.20270837093474, 37.73043675248827 -122.2037841933418, 37.728928133447084 -122.20252652229219))"
35,892830981c3ffff,13.166666485,14.469249965,0.7640972145,2,"POLYGON((37.72695175419462 -122.1860098156674, 37.72863403776304 -122.18493362019284, 37.73014293287846 -122.18619117364769, 37.72996952107748 -122.18852492228412, 37.728287237032866 -122.18960104892156, 37.72677836526512 -122.18834349576237))"
36,892830981c7ffff,11.74193585,10.37682956,0.4602916433,2,"POLYGON((37.728287237032866 -122.18960104892156, 37.72996952107748 -122.18852492228412, 37.73147833973727 -122.18978251517073, 37.73130485100513 -122.19211623439024, 37.72962256648989 -122.19319229218179, 37.72811377117712 -122.19193469960237))"
37,892830981cbffff,4.00000019,9.357422511000001,0.3512630182,2,"POLYGON((37.72880737263209 -122.18259984215801, 37.730489625481304 -122.18152354903262, 37.731998543942964 -122.18278110277218, 37.73182518620887 -122.18511494935512, 37.73014293287846 -122.18619117364769, 37.72863403776304 -122.18493362019284))"
38,892830981cfffff,21.58186869,18.431332585,0.7114322297,2,"POLYGON((37.73014293287846 -122.18619117364769, 37.73182518620887 -122.18511494935512, 37.73333402821426 -122.186372542538, 37.73316059354333 -122.18870635971983, 37.73147833973727 -122.18978251517073, 37.72996952107748 -122.18852492228412))"
39,892830981d3ffff,3.555555724,9.174841337,0.3267043428,2,"POLYGON((37.72376049217936 -122.18582846859609, 37.72544280597672 -122.18475230193803, 37.72695175419462 -122.1860098156674, 37.72677836526512 -122.18834349576237, 37.725096050990985 -122.18941959358791, 37.723587126122844 -122.18816208015363))"
