h3id_9,no_med,no2_med,bc_med,city,general_counta,node_counta,info_counta,highway_counta,natural_counta,place_counta,parking_counta,addr_street_counta,addr_housenumber_counta,amenity_counta,school_counta,restaurant_counta,place_of_worship_counta,shop_counta,name,parking,crossing
892830813a3ffff,15.22988528,20.86515694,0.665650196,1,90,9,53,5,0,0,0,1,1,1,0,0,0,3,6,0,0
8928309812bffff,68.285396565,35.842156205,1.6113286035,2,14,1,14,0,0,0,0,1,1,0,0,0,0,1,1,0,0
892830981d7ffff,10.20000009,11.19449973,0.4701535202,2,30,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,4
89283098237ffff,4.591747208,7.809666673,0.24604580210000002,2,212,21,50,21,0,0,0,0,0,0,0,0,0,0,7,0,16
8928309832fffff,5.628682356,9.9501358065,0.27854875465,2,124,8,37,6,0,0,0,0,0,0,0,0,0,0,6,0,0
892830983b3ffff,3.057569375,6.988307659,0.3876765966,2,16,7,10,0,0,1,0,0,0,1,0,0,0,0,1,0,0
89283099d0bffff,2.264151051,6.314062513,0.2725083928,2,156,26,16,25,0,0,0,0,0,0,0,0,0,0,0,0,22
8928308100fffff,8.714580742999999,17.40485657,0.49347247875,1,362,68,112,52,0,1,0,4,3,5,0,2,0,1,13,0,72
8928308142fffff,3.030807963,9.5178936225,0.40041309719999996,1,56,7,36,0,0,0,0,1,2,4,0,2,0,0,6,0,0
89283081567ffff,8.603659003999999,16.73140867,0.6124407042,1,24,5,16,1,0,1,0,0,0,0,0,0,0,0,4,0,2
8928308157bffff,34.99999922,28.83750021,1.136461276,1,146,57,24,13,0,0,0,0,0,1,0,1,0,0,2,0,25
89283098157ffff,4.00000019,9.015281931,0.35772609710000003,2,86,13,41,8,0,1,0,0,0,0,0,0,0,0,1,0,8
89283098173ffff,7.363636512,11.4118271,0.5118127029,2,84,6,28,4,0,0,0,0,0,0,0,0,0,0,4,0,0
89283098313ffff,8.944444151,9.689298952,0.3705434041,2,140,15,57,9,0,0,0,0,0,3,0,0,1,0,8,0,3
89283098563ffff,10.04545509,10.72138285,0.40939799130000004,2,30,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,10
89283099c2fffff,5.694444317,13.53891999,0.4731100193,2,160,19,43,19,0,0,0,0,0,0,0,0,0,0,4,0,8
89283099d1bffff,2.01520578,6.127684867999999,0.2060954893,2,52,6,27,4,0,0,0,0,0,0,0,0,0,0,2,0,4
89283081063ffff,11.58695676,17.10059948,0.5230185687,1,166,33,79,13,0,0,0,1,1,9,0,7,0,5,19,0,14
89283081193ffff,11.162499995000001,17.397614355,0.7846155823500001,1,56,6,49,3,0,0,0,1,1,2,0,0,1,0,3,0,0
892830811c3ffff,5.32618344,11.67875366,0.4285790462,1,166,19,71,14,0,1,0,1,1,0,0,0,0,1,6,0,14
892830813afffff,11.64456515,16.497479554999998,0.43832177105000003,1,238,30,88,22,0,0,0,2,2,4,0,1,0,1,12,0,12
89283081463ffff,8.147795669,13.08178276,0.42678878230000006,1,136,33,55,10,0,0,0,2,4,1,0,1,0,3,9,0,15
8928308154fffff,10.045491483500001,15.479634449999999,0.67539179225,1,62,16,29,4,0,0,0,2,1,2,0,1,0,0,7,0,8
8928309810bffff,55.09375187,32.24672841,1.193045058,2,18,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2
892830981d3ffff,3.555555724,9.174841337,0.3267043428,2,34,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,8
89283099d97ffff,1.6140351640000001,5.546910875,0.14598449119999998,2,24,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283081013ffff,11.1538459,17.959754044999997,0.53491338175,1,1258,145,340,48,1,2,4,11,11,54,0,13,0,11,80,4,45
89283081047ffff,9.720338165000001,17.53937522,0.54777309075,1,884,152,240,69,0,1,4,11,11,62,1,19,0,2,64,4,96
8928308109bffff,23.39668777,24.62467741,0.8986142576,1,218,47,101,16,0,0,0,1,1,8,0,5,0,14,31,0,18
8928308118fffff,6.987804872000001,15.57867939,0.545846145,1,40,4,37,1,0,1,0,0,0,0,0,0,0,0,3,0,0
892830811d7ffff,4.534310279,10.95653223,0.36955049705,1,58,8,45,5,0,0,0,1,1,1,0,0,1,0,2,0,4
89283081303ffff,5.200000045,11.5451913,0.3606188761,1,162,13,58,8,0,0,0,0,0,2,1,0,1,0,8,0,0
89283081edbffff,7.5229686104999995,8.482338542499999,0.1353805964,1,32,2,32,1,0,1,0,0,0,0,0,0,0,0,1,0,0
8928309818fffff,7.0555558325,10.401625275,0.37434878225,2,12,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8928309830bffff,2.000000095,6.393884658999999,0.11317285980000001,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283099897ffff,28.808333740000002,23.559138495,0.70431810975,2,208,29,38,29,0,0,0,0,0,0,0,0,0,0,3,0,28
89283099c33ffff,2.379310366,8.649023528999999,0.34580644969999996,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283099ca3ffff,0.8068627834,5.097627897000001,0.274896209,2,16,2,16,1,0,0,0,0,0,1,1,0,0,0,1,0,0
89283099dcfffff,0.0,4.114500046,0.1706649986,2,14,1,14,0,0,0,0,0,0,1,1,0,0,0,1,0,0
892830810a7ffff,7.000000216,13.3133657,0.5252481782,1,132,19,39,15,0,0,0,1,1,0,0,0,0,0,5,0,16
892830810abffff,8.525575483999999,14.65450779,0.48843765079999996,1,188,27,52,24,0,0,0,0,0,1,0,0,1,0,6,0,30
89283081217ffff,25.066222160000002,20.53959789,0.8922846421999999,1,108,10,45,6,0,0,0,2,2,0,0,0,0,1,5,0,2
