,h3id_9,no_med,no2_med,bc_med,city,polygon,__index_level_0__
35,892830810abffff,8.525575483999999,14.65450779,0.48843765079999996,1,"POLYGON((37.804935062118574 -122.27837149415038, 37.80661693156775 -122.27729662027042, 37.80812316770679 -122.27855571368819, 37.80794751109435 -122.28088968039549, 37.80626564131609 -122.28196448515337, 37.80475942847907 -122.28070539232864))",35
36,892830810afffff,4.9999998880000005,12.08646112,0.396741158,1,"POLYGON((37.80626564131609 -122.28196448515337, 37.80794751109435 -122.28088968039549, 37.809453670581284 -122.28214881302902, 37.80927793698836 -122.28448274981845, 37.80759606688661 -122.2855574854454, 37.80608993070101 -122.28429835341647))",36
37,892830810b3ffff,18.96774168,22.04494866,0.79540149,1,"POLYGON((37.79988933164162 -122.2815958626732, 37.80157126215111 -122.28052111535006, 37.80307752833069 -122.2817801683684, 37.802901840694986 -122.28411396810921, 37.801219909860876 -122.28518864631067, 37.7997136669868 -122.28392959389566))",37
38,892830810b7ffff,27.10290607,24.30546318,0.9014016690000001,1,"POLYGON((37.801219909860876 -122.28518864631067, 37.802901840694986 -122.28411396810921, 37.80440803022858 -122.28537306032993, 37.80423226562299 -122.2877068301398, 37.802550334469885 -122.28878143921072, 37.80104416824107 -122.28752234760493))",38
39,892830810bbffff,11.842105,17.63070056,0.6187976971,1,"POLYGON((37.801746872816146 -122.27818728569682, 37.80342877263491 -122.27711244053955, 37.804935062118574 -122.27837149415038, 37.80475942847907 -122.28070539232864, 37.80307752833069 -122.2817801683684, 37.80157126215111 -122.28052111535006))",39
40,892830810c3ffff,7.3607598124999996,14.67766239,0.4274354523,1,"POLYGON((37.79961120913769 -122.26399962359328, 37.801293077214865 -122.26292447331312, 37.80279961991462 -122.26418340977084, 37.802624271232155 -122.26651749596452, 37.800942402803614 -122.2675925771579, 37.79943588340859 -122.266333641247))",40
41,892830810c7ffff,9.608127957,15.586747729999999,0.43968854334999996,1,"POLYGON((37.800942402803614 -122.2675925771579, 37.802624271232155 -122.26651749596452, 37.804130737298884 -122.26777647167681, 37.803955311632706 -122.27011052802669, 37.802273442858386 -122.27118554012439, 37.8007670000957 -122.26992656497052))",41
42,892830810cbffff,8.873239514,16.47427985,0.4917609865,1,"POLYGON((37.80146834891283 -122.26059035729409, 37.80315018625719 -122.25951510918874, 37.804656752260286 -122.26077404618236, 37.80448145761538 -122.26310823074805, 37.80279961991462 -122.26418340977084, 37.801293077214865 -122.26292447331312))",42
43,892830810cfffff,5.9627100265,14.301848135,0.40338829745000004,1,"POLYGON((37.80279961991462 -122.26418340977084, 37.80448145761538 -122.26310823074805, 37.805987946984764 -122.2643672070078, 37.80581257535044 -122.26670136174546, 37.804130737298884 -122.26777647167681, 37.802624271232155 -122.26651749596452))",43
44,892830810d3ffff,9.323624584000001,15.943253465000002,0.4570633411,1,"POLYGON((37.79642271467051 -122.26381584847421, 37.79810461311509 -122.2627407269351, 37.79961120913769 -122.26399962359328, 37.79943588340859 -122.266333641247, 37.7977539846121 -122.26740869370387, 37.79624741189632 -122.2661497975919))",44
45,892830810d7ffff,10.80935526,15.72370915,0.47771049315,1,"POLYGON((37.7977539846121 -122.26740869370387, 37.79943588340859 -122.266333641247, 37.800942402803614 -122.2675925771579, 37.8007670000957 -122.26992656497052, 37.79908510095289 -122.27100154833632, 37.79757860486401 -122.26974261298321))",45
46,892830810dbffff,8.110389559,14.08007395,0.3672852035,1,"POLYGON((37.79827986186457 -122.26040667945884, 37.79996172958483 -122.25933146010064, 37.80146834891283 -122.26059035729409, 37.801293077214865 -122.26292447331312, 37.79961120913769 -122.26399962359328, 37.79810461311509 -122.2627407269351))",46
47,89283081103ffff,14.7149122,21.559846059999998,0.94710852745,1,"POLYGON((37.81477414566658 -122.29652130299168, 37.816455986324 -122.2954467461092, 37.8179617857757 -122.29670607532746, 37.81778572127313 -122.29903996077934, 37.81610388031506 -122.30011444849106, 37.81459810415992 -122.29885511992427))",47
48,8928308110bffff,14.802925305,18.260975395,0.7987007123500001,1,"POLYGON((37.81663197384448 -122.29311283066262, 37.81831378380582 -122.29203817591092, 37.81981960655267 -122.29329750576979, 37.81964359604273 -122.29563148974235, 37.8179617857757 -122.29670607532746, 37.816455986324 -122.2954467461092))",48
49,8928308110fffff,11.914135075,16.519544234999998,0.7608276103,1,"POLYGON((37.8179617857757 -122.29670607532746, 37.81964359604273 -122.29563148974235, 37.821149342107596 -122.29689085878181, 37.82097325461067 -122.29922481275689, 37.81929144404352 -122.30029932916666, 37.81778572127313 -122.29903996077934))",49
50,89283081113ffff,6.116720383500001,12.923924965,0.43193355224999996,1,"POLYGON((37.8115864217968 -122.29633654177348, 37.81326829283558 -122.29526201359216, 37.81477414566658 -122.29652130299168, 37.81459810415992 -122.29885511992427, 37.81291623281994 -122.29992957893944, 37.81141040328753 -122.2986702901908))",50
51,89283081117ffff,26.55681894,26.651999625,1.2354245075,1,"POLYGON((37.81291623281994 -122.29992957893944, 37.81459810415992 -122.29885511992427, 37.81610388031506 -122.30011444849106, 37.815927761832015 -122.30244823541315, 37.81424589019639 -122.30352262525335, 37.81274013733917 -122.30226329734903))",51
52,8928308111bffff,5.1071430125,12.635304335,0.40792425295,1,"POLYGON((37.81344425736504 -122.2929281666676, 37.815126097716245 -122.29185354062315, 37.81663197384448 -122.29311283066262, 37.816455986324 -122.2954467461092, 37.81477414566658 -122.29652130299168, 37.81326829283558 -122.29526201359216))",52
53,89283081143ffff,8.3783439665,15.93528805,0.5599608509,1,"POLYGON((37.817159674437406 -122.28611082737893, 37.81884145337288 -122.28503600560263, 37.820347376091426 -122.2862952968892, 37.82017149657973 -122.28862940933662, 37.818489717327964 -122.28970416195942, 37.816983817903896 -122.2884448712909))",53
54,89283081147ffff,6.6496215,14.99299728,0.46072475145,1,"POLYGON((37.818489717327964 -122.28970416195942, 37.82017149657973 -122.28862940933662, 37.82167734262037 -122.2898887398251, 37.82150138611516 -122.29222282230934, 37.81981960655267 -122.29329750576979, 37.81831378380582 -122.29203817591092))",54
55,8928308114bffff,5.842307590500001,12.600465804999999,0.5672026433499999,1,"POLYGON((37.81901725589024 -122.28270186321053, 37.82069900409763 -122.28162694356544, 37.82220495010924 -122.28288623545912, 37.82202912462011 -122.28522044639342, 37.820347376091426 -122.2862952968892, 37.81884145337288 -122.28503600560263))",55
56,8928308114fffff,7.285714349,14.39824617,0.5246126502499999,1,"POLYGON((37.820347376091426 -122.2862952968892, 37.82202912462011 -122.28522044639342, 37.823534993953125 -122.2864797775006, 37.823359091464766 -122.28881395848751, 37.82167734262037 -122.2898887398251, 37.82017149657973 -122.28862940933662))",56
57,89283081153ffff,7.395097988,15.12892609,0.5346540924000001,1,"POLYGON((37.81397188900757 -122.2859263689689, 37.81565369834083 -122.28485157591052, 37.817159674437406 -122.28611082737893, 37.816983817903896 -122.2884448712909, 37.81530200825378 -122.28951959520036, 37.813796055453736 -122.28826034434938))",57
58,89283081157ffff,10.90372986,16.51021579,0.5357606975,1,"POLYGON((37.81530200825378 -122.28951959520036, 37.816983817903896 -122.2884448712909, 37.818489717327964 -122.28970416195942, 37.81831378380582 -122.29203817591092, 37.81663197384448 -122.29311283066262, 37.815126097716245 -122.29185354062315))",58
59,8928308115bffff,4.833333225,12.71494678,0.405415085,1,"POLYGON((37.8158294778849 -122.28251750205662, 37.817511256498534 -122.28144261113557, 37.81901725589024 -122.28270186321053, 37.81884145337288 -122.28503600560263, 37.817159674437406 -122.28611082737893, 37.81565369834083 -122.28485157591052))",59
60,8928308116bffff,19.24658867,19.94597398,0.9988617572,1,"POLYGON((37.82486488411443 -122.29007332879846, 37.82654660254248 -122.28899851874453, 37.82805234179367 -122.29025792888045, 37.8278763393269 -122.29259214844203, 37.82619462058924 -122.29366688932441, 37.824688904627685 -122.2924074798194))",60
61,89283081173ffff,18.39872693,20.773680974999998,0.9869209498,1,"POLYGON((37.81981960655267 -122.29329750576979, 37.82150138611516 -122.29222282230934, 37.82300715547311 -122.29348219199001, 37.8228311219752 -122.29581624449257, 37.821149342107596 -122.29689085878181, 37.81964359604273 -122.29563148974235))",61
62,8928308117bffff,7.30434789,15.47299957,0.5285506734000001,1,"POLYGON((37.82167734262037 -122.2898887398251, 37.823359091464766 -122.28881395848751, 37.82486488411443 -122.29007332879846, 37.824688904627685 -122.2924074798194, 37.82300715547311 -122.29348219199001, 37.82150138611516 -122.29222282230934))",62
63,89283081183ffff,8.9799998455,18.664800005,0.58117338875,1,"POLYGON((37.80654068659579 -122.29955987320436, 37.80822261867252 -122.29848547157783, 37.80972850157466 -122.29974472051089, 37.80955242909773 -122.30207837041189, 37.80787049672429 -122.30315270287264, 37.806364637124204 -122.30189345460079))",63
64,89283081187ffff,40.931817455,31.402429405,1.6421464085,1,"POLYGON((37.80787049672429 -122.30315270287264, 37.80955242909773 -122.30207837041189, 37.81105823533012 -122.30333765849875, 37.810882085887414 -122.30567127837624, 37.80920015322282 -122.30674554166244, 37.8076943702918 -122.30548625424834))",64
65,8928308118bffff,5.194502186999999,11.5237883,0.3900885717,1,"POLYGON((37.80839861418284 -122.29615179167183, 37.81008051559397 -122.29507729219021, 37.8115864217968 -122.29633654177348, 37.81141040328753 -122.2986702901908, 37.80972850157466 -122.29974472051089, 37.80822261867252 -122.29848547157783))",65
66,8928308118fffff,6.987804872000001,15.57867939,0.545846145,1,"POLYGON((37.80972850157466 -122.29974472051089, 37.81141040328753 -122.2986702901908, 37.81291623281994 -122.29992957893944, 37.81274013733917 -122.30226329734903, 37.81105823533012 -122.30333765849875, 37.80955242909773 -122.30207837041189))",66
67,89283081193ffff,11.162499995000001,17.397614355,0.7846155823500001,1,"POLYGON((37.803352787899854 -122.29937503701886, 37.805034750331394 -122.29830066408445, 37.80654068659579 -122.29955987320436, 37.806364637124204 -122.30189345460079, 37.80468267439537 -122.30296775837405, 37.80317676143513 -122.30170854991466))",67
