h3id_9,max_counta,avg_congested_prop,max_length,max_avg_speed,min_avg_speed,avg_speed,max_median_level,min_median_level,median_level,bool_highway,usual_road_type
89283098e8bffff,1,993.2784810126582,1844,9.386111111111111,2.1555555555555554,5.717334739803094,4,1,3,0,7
89283099d03ffff,1,530.5121951219512,777,5.616666666666666,1.1777777777777778,3.1926829268292676,4,2,3,0,7
89283081387ffff,2,224.52542372881356,940,5.497222222222222,0.8111111111111111,2.158262711864406,4,2,3,0,7
89283099cb3ffff,1,279.8888888888889,415,1.8916666666666666,1.7638888888888888,1.8157407407407407,3,3,3,0,1
89283098037ffff,1,452.55555555555554,715,2.591666666666667,0.6333333333333333,1.5979938271604937,4,3,3,0,1
89283099db3ffff,1,575.8461538461538,1059,6.458333333333333,1.0527777777777778,3.801495726495727,3,1,3,0,6
89283098e57ffff,1,432.0,432,2.9972222222222222,2.9027777777777777,2.9458333333333333,2,2,2,0,6
8928309816fffff,1,357.0,728,5.0777777777777775,1.0722222222222222,2.332885304659498,4,2,3,0,2
892830810b7ffff,2,506.4314868804665,6727,11.88888888888889,1.1333333333333333,4.400060738581147,4,1,2,1,7
89283081357ffff,2,213.30333333333334,1361,7.194444444444445,0.8333333333333334,2.8141990740740748,4,2,3,0,7
8928308138fffff,1,311.537037037037,843,4.266666666666667,1.1611111111111112,2.006327160493827,4,1,2,0,1
89283099d8fffff,2,219.6273291925466,941,6.8694444444444445,0.7416666666666667,2.5996376811594195,4,2,3,0,7
89283099ca3ffff,1,646.0,743,4.761111111111111,0.6138888888888889,3.205050505050504,4,2,2,0,7
89283081edbffff,1,240.275,750,4.280555555555556,0.9777777777777777,1.5022222222222221,4,1,3,0,1
89283098117ffff,1,547.1714285714286,767,6.083333333333333,0.6777777777777778,3.452063492063492,4,3,3,0,6
8928308106bffff,6,38.99740932642487,996,6.347222222222222,0.0,1.024539435808866,5,2,5,0,6
892830810bbffff,2,160.62325581395348,939,6.027777777777778,0.0,1.5164534883720928,5,1,3,1,7
892830813d3ffff,3,95.10906298003073,1208,5.286111111111111,0.0,1.3616466120498378,5,2,5,0,6
89283081577ffff,1,7015.9384615384615,11845,17.444444444444443,4.116666666666666,8.462094017094017,4,1,3,1,3
89283099dbbffff,2,244.29435483870967,1062,6.9,1.0722222222222222,3.0101814516129033,4,2,3,0,7
89283081037ffff,1,187.94444444444446,388,1.5833333333333333,0.7388888888888889,1.0399691358024694,4,2,4,0,2
8928309810fffff,2,3038.2474226804125,10112,19.416666666666668,0.16944444444444445,10.950238640702562,4,1,2,1,3
8928309812bffff,1,6488.617834394904,9683,18.519444444444446,6.761111111111111,13.503237791932062,3,1,2,1,3
892830810afffff,1,428.8181818181818,1903,3.4805555555555556,1.2972222222222223,2.011868686868687,4,3,3,0,6
89283099d0bffff,1,401.2908163265306,1063,5.394444444444445,0.4638888888888889,2.1922689909297053,4,2,3,0,6
892830810abffff,1,505.98387096774195,1313,4.5,1.2361111111111112,2.3798835125448035,4,1,3,0,7
89283099cb7ffff,1,481.0851063829787,767,4.55,1.9583333333333333,3.1050827423167844,3,2,3,0,7
8928309802fffff,3,118.31649831649833,1463,5.991666666666666,1.3722222222222222,2.2490319865319868,4,2,3,0,7
892830810cfffff,2,197.39141414141415,1098,4.108333333333333,0.4861111111111111,2.459946689113356,4,1,3,0,7
892830810d3ffff,7,66.13045552110661,1403,4.466666666666667,0.0,2.1286431861744886,5,1,3,0,7
89283081233ffff,3,124.74683110654333,1151,5.575,0.0,2.179686726809029,5,1,3,0,6
8928308154bffff,3,77.7632398753894,884,6.330555555555556,0.0,0.9346378504672898,5,2,5,0,7
89283099cafffff,1,642.6756756756756,1169,6.091666666666667,1.4638888888888888,3.601426426426426,4,2,3,0,7
8928308157bffff,2,79.69778726708074,2807,8.852777777777778,0.0,0.36473483868184947,5,1,5,0,1
89283099dd3ffff,1,557.7333333333333,1294,5.988888888888889,2.638888888888889,3.5363888888888892,3,2,3,0,7
89283081053ffff,10,37.52330383480826,1189,4.266666666666667,0.0,1.7903548017043596,5,1,3,0,2
8928308114fffff,12,16.33093525179856,809,5.763888888888889,0.0,0.2550426325606182,5,2,5,0,1
8928309834bffff,2,294.3758620689655,2298,6.844444444444444,0.5777777777777777,2.6931896551724144,4,2,4,0,7
89283098353ffff,1,374.94827586206895,824,4.933333333333334,1.0638888888888889,2.284458812260537,4,2,3,0,7
89283098e5bffff,2,211.58516483516485,1089,5.25,1.1972222222222222,2.5796398046398052,4,2,4,0,6
89283098ed3ffff,2,490.7310344827586,1259,8.05,1.2472222222222222,5.040488505747125,4,1,2,0,7
8928309830fffff,1,411.96,983,4.658333333333333,1.1972222222222222,2.073111111111111,4,2,3,0,2
8928309833bffff,1,595.9777777777778,1241,5.375,1.3055555555555556,2.900185185185186,4,2,3,0,6
89283099cbbffff,1,493.8484848484849,925,5.9944444444444445,1.6944444444444444,3.197306397306397,4,2,3,0,7
89283099d93ffff,1,520.952380952381,660,4.838888888888889,2.2194444444444446,2.9933862433862437,3,2,2,0,1
8928308100fffff,3,112.69431988041855,1771,6.225,0.0,1.9446956485633615,5,1,3,0,6
89283081073ffff,8,40.81447963800905,1243,6.069444444444445,0.0,1.7175433634992456,5,1,3,0,6
89283098e1bffff,1,698.2755102040817,1210,8.327777777777778,4.1305555555555555,5.019897959183673,3,2,3,0,6
89283081383ffff,2,215.01041666666666,1086,5.416666666666667,0.9583333333333334,2.447887731481481,4,2,3,0,7
89283098e4bffff,1,491.4375,801,6.322222222222222,2.5722222222222224,3.301996527777778,4,1,3,0,6
89283081393ffff,5,54.099470899470894,962,5.361111111111111,0.0,0.9731172839506173,5,2,5,0,1
892830813bbffff,1,434.5,1141,6.7972222222222225,0.9472222222222222,2.5413690476190474,4,2,3,0,7
89283081ed3ffff,2,361.1991525423729,939,6.727777777777778,1.6388888888888888,4.093467514124293,4,2,4,0,4
89283081033ffff,1,357.8333333333333,1034,4.838888888888889,0.6666666666666666,1.9904706790123454,4,2,3,0,6
892830981bbffff,1,1005.2,1153,5.7,5.236111111111111,5.482222222222221,3,3,3,0,6
892830981d3ffff,1,458.2857142857143,748,5.519444444444445,1.3111111111111111,2.313690476190476,4,2,4,0,1
89283098307ffff,1,448.4172185430464,1281,5.2444444444444445,0.9472222222222222,2.4399190581309775,4,2,3,0,6
89283081173ffff,1,566.2147651006711,1119,7.486111111111111,0.6861111111111111,2.9954697986577172,4,2,4,0,6
89283081193ffff,1,580.2702702702703,1330,11.022222222222222,1.8111111111111111,4.214264264264264,4,2,3,1,4
892830811c3ffff,2,110.8391304347826,1227,6.597222222222222,0.0,0.523768115942029,5,2,5,0,7
892830811d3ffff,1,244.125,487,3.0972222222222223,0.8833333333333333,1.5920138888888886,4,2,3,0,2
89283081397ffff,5,26.345714285714287,402,2.566666666666667,0.0,0.267281746031746,5,2,5,0,1
89283099c13ffff,1,9232.981132075472,15082,17.32777777777778,1.2638888888888888,8.493134171907757,4,1,3,1,3
8928308154fffff,1,349.7857142857143,645,4.7,1.1944444444444444,2.2906746031746024,4,3,4,0,2
8928309838bffff,1,685.0,685,4.355555555555555,3.4055555555555554,3.8805555555555555,3,3,3,0,6
89283098143ffff,2,334.93684210526317,1838,6.966666666666667,0.7388888888888889,3.9645467836257313,4,2,3,0,7
8928309815bffff,1,382.3783783783784,1137,5.441666666666666,1.2,2.3836336336336332,4,2,3,0,7
89283099c83ffff,2,381.46,12456,14.497222222222222,0.3138888888888889,1.6998923611111108,4,1,3,1,1
