Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.3039794,37.8055324,45.42940781,28.0948226,1.575570371,73.25122579,31.40226617,1.913992509,26.47330856,46,60,0.7318445897,0.9460580913,0.8294471154,1,1,1,4.551109816,1.779463583,0.2911551251
-122.3039734,37.80512341,94.15384697,43.59857378,3.161637218,136.9885318,50.08457636,4.490019753,21.97706413,24,53,1,1.135338346,1,1,0,1,16.05854915,4.01718727,1.494244252
-122.3039578,37.81002846,40.36363463,34.02199996,1.429196934,59.64783822,36.12796372,1.96140835,20.38486004,56,105,1.086206897,1.205882353,1.110997067,2,0,1,5.657207064,2.182459001,0.2318046183
-122.3039254,37.81182581,32.68008638,21.54131198,1.378500247,43.42721099,24.37052238,1.704723057,28.12467575,46,56,0.7235725309,0.9452054795,0.828125,1,1,1,2.18515827,2.291865199,0.1828671896
-122.3039155,37.80659309,33.4393942,39.26309384,1.895698803,53.06253119,39.82523764,2.307782761,17.51168823,38,131,1.063291139,1.212870254,1.056547619,1,0,1,2.054947747,2.583110935,0.1765036819
-122.3039008,37.8111085,35.59306526,24.59827929,1.322577273,68.43837768,28.56853342,1.73583801,30.00239754,47,58,1.237179487,1,1.09069555,1,1,1,6.355020791,2.72948026,0.2123756302
-122.3038819,37.80604143,52.6399982,29.3787272,1.546606467,76.64716982,31.13544155,2.066315322,29.50595856,45,55,1.347826087,1,1.032258065,1,1,1,8.137506591,2.67721194,0.2912404327
-122.3038792,37.81063481,34.00000185,31.0189991,1.366255555,42.66814677,34.68437562,2.067535691,21.75842667,47,98,1,1.151515152,1.055555556,2,0,1,2.508278853,1.703465336,0.1685546572
-122.3038731,37.81029028,41.99999943,33.20608765,1.233149106,53.01203054,36.0213855,1.64610687,20.78612614,57,111,1.04488417,1.137113617,1.088000586,2,0,1,4.367401965,2.381869052,0.153038319
-122.3038541,37.80775152,43.717948,37.82526799,1.746473394,63.06914118,41.24148141,2.732959526,0,55,1593,1,1.116883117,1.047619048,2,0,1,1.036153126,0.4797241809,0.0377996406
-122.3038206,37.80529316,48.85714224,31.75106916,1.85019163,86.42954193,33.09840446,2.208406991,26.93630886,44,58,0.7283950617,0.9452054795,0.8307692308,1,1,1,7.084826205,2.666820603,0.1805166772
-122.3037988,37.8063394,34.37036938,38.76754185,1.53268928,52.36518123,38.28161915,2.045281938,19.52573681,38,107,1.073312236,1.181818182,1.056547619,1,0,1,2.992554218,3.721813757,0.2590417637
-122.303771,37.81054818,44.50000077,34.99562012,1.490540298,53.78568577,36.18043849,1.685172035,21.05106544,57,111,1.017857143,1.202531646,1.071428571,2,0,1,3.995349624,2.402383201,0.1807703329
-122.3037636,37.80491041,105.2999994,45.28999964,2.695313046,135.3359381,50.72545486,4.52156224,22.33717537,24,59,1,1.142857143,1,1,0,1,12.38385012,4.27316704,0.7259548506
-122.3037618,37.81135528,34.7777783,24.25056159,1.218265057,72.84613902,27.64247504,1.43123677,30.05384254,48,60,1.226190476,1,1.112903226,1,1,1,5.480206362,1.99976037,0.2577722142
-122.3037597,37.8108879,35.00000015,31.24394047,1.863186493,48.30089708,34.80516184,1.802320043,21.82530308,45,98,1,1.124949599,1,2,0,1,3.261281557,1.621216246,0.215257461
-122.3037565,37.81206069,33.20921628,23.37029773,1.343221349,43.99519761,25.01262011,1.742527716,29.00372462,46,55,0.7128232759,0.9460580913,0.8378378378,1,1,1,3.461862245,2.297373846,0.310254945
-122.3037376,37.80579648,50.80645363,28.24248045,1.361669091,79.572192,30.6310355,2.128924321,29.02495384,48,58,1.285714286,1,1.092783505,1,1,1,8.169551162,2.527835212,0.2471398194
-122.3037061,37.80753665,37.23999903,31.0662508,1.242841587,96.62979676,36.24246332,1.752575305,9.614965916,41,103,1,1.094488189,1,2,0,1,2.863625374,2.987567426,0.1315496068
-122.3036597,37.80609258,32.96202478,38.03882449,1.382982422,57.20635682,37.8451893,2.147437465,21.11279869,38,94,1.083333333,1.138888889,1.056547619,1,0,1,3.012932515,2.1466178,0.2076499965
-122.303656,37.81080268,41.50000028,34.94599915,1.244985735,51.60750142,36.0397843,1.386524589,21.41117668,58,110,1.063291139,1.204206999,1.110997067,2,0,1,4.25078146,1.711835041,0.0942293781
-122.303644,37.805062,43.70124947,28.31039859,1.944835349,84.21927076,33.34180823,2.213805806,27.15752029,45,52,0.7318445897,0.9730290456,0.8343035343,1,1,1,6.966610808,3.027145931,0.1739376776
-122.3036234,37.8111357,32.92473073,30.34084516,1.71278566,43.0013698,34.47152815,1.670350221,22.35518169,44,93,1,1.124949599,1,2,0,1,3.034792308,1.449447878,0.1549883917
-122.3036141,37.81159893,33.91666644,21.50839892,1.287480834,65.18708397,24.63390895,1.739768398,29.92523098,44,54,1.226190476,1,1.09069555,1,1,1,5.263180258,2.26601275,0.234538012
-122.3035828,37.80555564,57.27777775,28.99301431,1.385762552,81.99386673,30.51255033,1.85426157,29.14327431,47,60,1.327759197,1,1.092783505,1,1,1,8.861792779,2.494021419,0.304119114
