h3id_9,BC,BC_diff,NO,NO_diff,NO$_2$,NO$_2$_diff
89283098357ffff,0.294441,0.040475665128274496,8.959088,5.579777876500488,10.451247,2.7187316342709957
892830983c3ffff,0.24059495,0.01182457429856873,4.50914,2.5091399196484376,6.920841,1.1852898195410155
8928308139bffff,0.3421948,0.017542853208520504,5.1629286,1.5500251842377928,12.141641,1.3861090431469734
892830812bbffff,0.35787553,-0.009701488348614506,3.7463472,-3.1908379855504148,12.052176,-1.456358214475097
892830811dbffff,0.3825727,-0.04064793898593139,6.0474734,0.4797518961335445,11.011819,-1.7677506941967778
892830983b7ffff,0.57812005,-0.00042989058551634596,6.723579,-2.7764207650988766,11.073008,-0.5606874863818359
89283098313ffff,0.37594956,0.005406157495916775,9.233986,0.28954174987890546,10.719439,1.0301396008564456
8928308146fffff,0.89172035,-0.0256669406429626,24.126123,0.7261239483447248,23.292051,-0.37409530469238206
892830981c7ffff,0.47935212,0.019060473284777835,17.011957,5.270021318579101,13.7044935,3.327663962644044
8928309813bffff,0.42184886,-0.030207224436734015,6.514268,-2.757430340552247,11.851656,-1.7690836699169914
89283098ec7ffff,0.41623798,-0.016470638572665397,4.2715254,-1.2021590880043949,11.044387,0.9879762937084955
892830981d3ffff,0.31646723,-0.010237117248394767,2.993449,-0.5621067512979736,7.7768044,-1.3980368898259279
89283098307ffff,0.29912734,0.011880985316772452,5.5944743,0.7944742736433108,8.608242,0.23660670991210964
89283081173ffff,1.0069072,0.019986274855151365,20.674706,2.275978575371095,20.242033,-0.5316479702392556
892830811c3ffff,0.44111574,0.012536690761364766,5.7331076,0.40692412683349577,11.882954,0.2041999837988282
89283081397ffff,0.3771877,0.01652646097951349,5.980128,2.8507159604318844,11.684892,0.31331207574462994
89283099c13ffff,1.1154878,0.006075181449584965,31.287025,-2.8632277533398423,21.073015,1.4599215230126958
8928308154fffff,0.597226,-0.07816576857598878,6.495435,-3.5500562456154796,12.977897,-2.5017377596313466
89283081193ffff,0.8011172,0.01650159942795404,17.018925,5.856424718134765,20.730343,3.3327285099902326
892830811d3ffff,0.39426735,-0.0049851732147430106,5.1961656,0.8884730496760254,11.618088,-0.39563862644531156
8928309838bffff,0.32239896,-0.010310474909637435,4.479217,1.7950065024597168,6.0429616,0.17291115244262656
8928308100fffff,0.48158097,-0.01189150607849121,10.602374,1.8877933338432626,17.620094,0.2152377293164065
89283081033ffff,0.33414564,0.0009050671164397839,5.0358872,0.8848086843635254,12.00196,0.04246189072021522
89283081073ffff,0.4951579,0.002352725422381574,11.331451,0.2556936060156261,16.912756,0.387710141186524
89283098e1bffff,0.44059718,-0.0035035932481811694,7.4124465,1.0542374888708492,8.984536,-0.29649611404052756
89283081393ffff,0.42156297,0.03796053678460082,8.485643,3.0665257798408208,15.065506,1.2916312214453125
892830813bbffff,0.4121206,-0.032410335024459835,5.3672323,-1.5197242593071296,10.847093,-2.2959070215209962
