,h3id_9,no_med,OSM-SimpleLinearRegression-y_estimated,OSM-SimpleLinearRegression-diff,Waze-SimpleLinearRegression-y_estimated,Waze-SimpleLinearRegression-diff,Waze-SimpleGamma-y_estimated,Waze-SimpleGamma-diff,Waze-SimpleLinearRegression-transformed-y_estimated,Waze-SimpleLinearRegression-transformed-diff
25,8928308131bffff,4.00000019,10.10666149387773,-6.106661303877731,7.8265743081245525,-3.8265741181245527,6.60640067941386,-2.6064004894138604,2.6867968130730895,-0.68679676557309
26,892830813b3ffff,4.238596693,13.88562623791616,-9.64702954491616,4.801966464696154,-0.5633697716961539,6.344656455531705,-2.1060597625317055,2.035609711147673,0.023175535788004797
27,89283099dc3ffff,3.107973449,6.869814897943191,-3.7618414489431906,8.346279442868255,-5.238305993868255,7.534256628215345,-4.4262831792153445,2.538130278261643,-0.7751857388617216
28,89283081027ffff,7.647058981,8.309771397181471,-0.6627124161814715,5.150912911052178,2.496146069947822,4.881248783593137,2.7658101974068625,2.125527023035521,0.6398045992116193
29,8928308106fffff,9.238095178,13.265399444238337,-4.027304266238337,8.616558331090083,0.6215368469099172,11.042811513187674,-1.804716335187674,2.877999595868065,0.16142389848082228
30,8928309831bffff,3.457792271,9.39088503920995,-5.933092768209949,4.173683960362176,-0.7158916893621758,5.8594858102530925,-2.4016935392530923,2.407573783050459,-0.5480597952030966
31,89283099d03ffff,10.047169533000002,7.7878506170002115,2.25931891599979,7.6127123362080695,2.434457196791932,6.854073956983314,3.193095576016688,2.5423536759814036,0.6273733679452498
32,8928308102fffff,5.092592479,13.739049621076749,-8.646457142076748,4.449801592276547,0.6427908867234535,6.147173923196922,-1.0545814441969217,2.3381622397150252,-0.08148493026203196
33,8928308108bffff,12.63611085,15.630779990481491,-2.9946691404814914,8.682681891022792,3.9534289589772076,9.968798896457695,2.6673119535423044,2.9521969764640668,0.6025337939319138
34,892830812afffff,8.00000038,10.53449442213563,-2.5344940421356306,18.765650075452612,-10.765649695452613,7.679068460861931,0.3209319191380686,4.0762384230918265,-1.247811231170493
35,89283099d57ffff,1.14821432415,10.869521206493882,-9.721306882343882,8.148478796248384,-7.000264472098383,4.1854114007558465,-3.0371970766058465,2.128166644716036,-1.0566190143467649
36,892830813cfffff,11.90000037,9.113226341953913,2.7867740280460875,17.15451583900854,-5.254515469008538,8.208732514294402,3.6912678557055987,3.9253355726628176,-0.47569785690192923
37,892830812abffff,9.750000085,10.018275310683592,-0.26827522568359186,12.60368758667314,-2.8536875016731393,5.0080609519204655,4.741939133079534,3.256261401213606,-0.13376238840351418
38,89283098edbffff,4.571428789,7.521213907621185,-2.949785118621185,11.090298660110154,-6.518869871110154,8.279042156028993,-3.7076133670289932,2.870444411812253,-0.7323544256329999
39,892830811c3ffff,5.32618344,7.588301672230765,-2.2621182322307645,7.229880567568063,-1.903697127568063,10.877860452624592,-5.551677012624592,2.7850269109933397,-0.47717435071137926
40,89283081463ffff,8.147795669,15.30285164631071,-7.15505597731071,5.130181950916853,3.0176137180831475,6.723892625272205,1.4239030437277957,2.287367880165251,0.5670665067142231
41,89283081193ffff,11.162499995,8.844324912133734,2.318175082866265,21.906871763391962,-10.744371768391963,11.353690374660772,-0.1911903796607728,4.176872680300516,-0.8358399065911648
42,8928308154fffff,10.045491483500001,14.04011625887848,-3.9946247753784796,8.377931365053822,1.667560118446179,7.128152202567784,2.917339280932217,2.575946329029169,0.5935160044747332
43,89283099d97ffff,1.614035164,15.15578518728023,-13.54175002328023,1.1119943153436154,0.5020408486563845,4.4473140199826835,-2.833278855982684,1.5622501689869215,-0.2918033326336642
44,892830981d3ffff,3.555555724,13.251453581973717,-9.695897857973717,9.09549092817942,-5.53993520417942,7.490577412387087,-3.935021688387087,2.628748420981249,-0.7431302931515442
45,8928308100fffff,8.714580742999999,11.981110793085218,-3.266530050085219,8.932216144202865,-0.21763540120286606,10.812470102505893,-2.097889359505894,3.05233135553753,-0.10028448209530794
46,89283098313ffff,8.944444151,7.588028720282716,1.356415430717285,6.761126396188679,2.1833177548113216,6.593822422356541,2.3506217286434596,2.576143453196431,0.41458290523223695
47,892830811d3ffff,4.307692512,8.125164503707342,-3.8174719917073423,6.564311846224079,-2.2566193342240792,6.700555382578867,-2.392862870578867,2.3529208702677313,-0.2774227343976938
48,89283099c87ffff,5.88235281,8.971688110286717,-3.0893353002867165,13.53341781566629,-7.65106500566629,8.138073193494945,-2.2557203834949444,3.383428730397855,-0.9580725070772473
49,89283098107ffff,12.13351281,11.086741050300642,1.0467717596993573,10.9378990100562,1.1956137999438,8.262894359866428,3.8706184501335716,2.9418400342235476,0.5414791888738701
50,89283098e4bffff,2.222222328,10.35674604518943,-8.134523717189431,13.399230859906414,-11.177008531906413,9.294038802306522,-7.071816474306522,3.021573754657503,-1.5308617341786985
51,8928308146fffff,23.39999948,9.999779188749836,13.400220291250166,19.02003488787153,4.37996459212847,11.117211741158656,12.282787738841346,4.2549637817673265,0.5823908134634186
52,89283081ed3ffff,9.260869585,17.707485836536236,-8.446616251536236,10.862901965263134,-1.6020323802631342,7.958557340281969,1.3023122447180313,2.858690563933895,0.1844771253333266
53,89283098e8bffff,14.52991433,11.272928746250688,3.2569855837493122,13.58318979459505,0.9467245354049503,9.091079038835213,5.4388352911647875,3.239741100395735,0.5720713726936748
54,8928308152bffff,63.07302242,19.00792970713258,44.065092712867425,32.01258124314678,31.060441176853217,119.9570255904794,-56.8840031704794,5.182663528910952,2.7591890521937863
55,89283098223ffff,2.320320431,6.8811555491815515,-4.560835118181552,7.526627447743682,-5.206307016743682,6.896252149489207,-4.575931718489207,2.5955941373774847,-1.0723343332074935
56,89283098343ffff,6.26865691,4.4186820347126305,1.8499748752873693,7.826533222368553,-1.5578763123685535,6.9472833749972445,-0.6786264649972447,2.7877551313906284,-0.28402652988446686
57,89283098363ffff,3.1296102644999997,6.348587021817984,-3.2189767573179844,7.6165910226479525,-4.486980758147952,6.9523381934694095,-3.82272792896941,2.6998105684901597,-0.9307401163882656
58,8928308111bffff,5.1071430125,10.013693737650375,-4.906550725150375,5.842412181047592,-0.7352691685475925,6.425858362359832,-1.3187153498598319,2.3784073718899004,-0.11850847758068817
59,892830810a3ffff,8.272727527999999,8.464420282394792,-0.1916927543947935,7.930920263958885,0.3418072640411136,6.804196932602593,1.4685305953974064,2.573942705358595,0.3022922516642139
60,892830810abffff,8.525575483999999,6.245633973153385,2.279941510846614,7.003788768569137,1.5217867154308617,7.336588447598446,1.188987036401553,2.532028054739571,0.3878307576005051
61,89283098117ffff,9.709434073999999,8.03782120020632,1.6716128737936788,6.3817025653847,3.327731508615299,6.1651972521631775,3.5442368218368214,2.4833502470894637,0.632646234615867
62,8928308106bffff,6.8049591725,12.740614810476398,-5.935655637976398,7.872147459493693,-1.0671882869936926,9.16910655944374,-2.36414738694374,2.8114487694853523,-0.20281710278727294
63,89283099dbbffff,10.12537335,8.889574272081465,1.2357990779185357,7.310872101480829,2.8145012485191714,6.467529780633383,3.6578435693666176,2.6145424358356224,0.5674967452556476
64,8928308118bffff,5.194502186999999,8.440013826421715,-3.245511639421716,3.331841735341147,1.8626604516588525,4.660592224295052,0.5339099627049473,1.8042846264588919,0.474860429697034
65,89283081577ffff,54.43749903,14.655641469532853,39.781857560467145,35.463694743607306,18.973804286392692,-83.95902412682081,138.39652315682082,5.724089261768006,1.6540879541844546
66,89283081017ffff,8.142857372,13.22984460981467,-5.08698723781467,8.276012036776699,-0.1331546647766988,10.309017460204245,-2.1661600882042453,2.887787865715588,-0.034218631931343335
67,89283081043ffff,12.53058903,10.866835135161375,1.6637538948386243,9.0959122632079,3.4346767667920997,8.327762006071401,4.202827023928599,3.025460301657066,0.514396903090041
68,892830810d3ffff,9.323624584,9.04516202998399,0.2784625540160093,8.511962729534023,0.8116618544659762,9.091920632534649,0.2317039514653505,2.9324570133023538,0.12100406946912967
69,89283098303ffff,2.696969772,8.708928975260223,-6.011959203260223,7.104621775165327,-4.407652003165327,6.748051029972826,-4.051081257972826,2.5343519429757686,-0.8921065983332575
70,892830812b7ffff,7.982758845,15.953849987847839,-7.971091142847839,9.116274887177681,-1.133516042177681,8.466194589877302,-0.4834357448773021,3.085939085715536,-0.2605614392760378
71,89283098ed7ffff,16.09523843,9.64801292945114,6.447225500548859,9.460683697407966,6.634554732592033,7.480120417923398,8.6151180120766,2.8400865210094164,1.1718006197262252
72,89283099c8fffff,21.74999937,7.780586064201335,13.969413305798666,20.003665649936707,1.7463337200632942,22.956729892170728,-1.2067305221707265,4.396987708277793,0.26670175072352453
73,8928308154bffff,8.355932657,13.877597929345898,-5.521665272345897,7.451279120094899,0.9046535369051014,10.39512447007957,-2.0391918130795705,2.748098437351079,0.14256457604221495
74,8928309822bffff,4.126705683500002,9.734327570288222,-5.607621886788221,22.89153634199583,-18.76483065849583,24.83254317530853,-20.705837491808527,4.647719209654113,-2.6162897416439628
75,8928309815bffff,3.4666668310000004,7.720939213528087,-4.254272382528087,7.171826074263603,-3.7051592432636022,6.85678108934043,-3.3901142583404296,2.580262787837921,-0.7183640712048167
76,892830810b7ffff,27.10290607,5.755876355635964,21.347029714364034,19.211192116485265,7.891713953514735,13.051348359132145,14.051557710867854,4.236863484046854,0.9691816627032201
77,8928308138fffff,5.57142862,2.5074823313872905,3.0639462886127093,8.557186384349713,-2.985757764349713,7.000910519148637,-1.4294818991486373,2.6468158565410707,-0.2864284688438734
78,89283099d8fffff,4.00000019,5.4532171353602905,-1.4532169453602908,5.718339746916698,-1.718339556916698,6.046152837443696,-2.046152647443696,2.4523953709959243,-0.4523953234959248
79,89283081083ffff,25.07923216,11.049662745070558,14.029569414929442,18.62924591680408,6.449986243195919,12.608819828597184,12.470412331402816,4.251782668037052,0.7561342801560791
80,89283098383ffff,4.6146371345000015,11.654779163048598,-7.040142028548597,7.585938029081895,-2.9713008945818933,6.801342906392385,-2.1867057718923837,2.392981304377016,-0.2448106560112948
81,8928308156fffff,9.084754863999999,8.203655126186753,0.8810997378132459,7.450834916901542,1.6339199470984571,8.128572038614235,0.9561828253857634,2.7593904638066027,0.2547022461145767
